# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	736
#@/user_id	c4e4d588-8969-45dd-ab6e-a3afd9cb4349
a 	啊	c=2 d=1.27565 t=395
ying gai 	應該	c=1 d=1 t=157
ying han 	英漢	c=1 d=1 t=403
ying pan 	硬盤	c=1 d=1 t=189
yong 	勇	c=1 d=1 t=365
yong 	用	c=1 d=1 t=317
yong de 	用的	c=0 d=0.1 t=41
yong fa 	用法	c=1 d=1 t=420
yong hu 	用戶	c=1 d=1 t=676
yong hu zu 	用戶組	c=1 d=1 t=454
you 	又	c=2 d=0.621086 t=288
you 	右	c=2 d=1.91851 t=505
you 	有	c=1 d=1.00707 t=544
you chong zhuang 	有重裝	c=1 d=1 t=15
you dian 	有點	c=1 d=0.298891 t=449
you dian da 	有點大	c=1 d=1 t=450
you ren 	有人	c=1 d=1 t=647
you shi jian 	有時間	c=2 d=1.95123 t=662
you yao 	又要	c=1 d=1 t=294
you yi si 	有意思	c=0 d=0.1 t=470
you yu dao 	又遇到	c=1 d=1 t=289
yu 	與	c=2 d=1.55227 t=389
yu 	魚	c=1 d=1 t=618
yu an 	預案	c=0 d=0.1 t=679
yu an na me 	預案那麼	c=1 d=1 t=680
yu dao 	遇到	c=2 d=2.00823 t=629
yu yan 	語言	c=1 d=1 t=514
yuan 	源	c=1 d=1 t=603
yuan lai 	原來	c=1 d=1 t=321
yuan ma 	源碼	c=2 d=1.98511 t=681
yue lai yue 	越來越	c=1 d=1 t=336
yun 	雲	c=1 d=0.837123 t=465
yun 	韻	c=1 d=1 t=274
yun xing 	運行	c=2 d=1.80252 t=571
zai 	再	c=1 d=1 t=653
zai 	在	c=4 d=3.02832 t=569
zai 	載	c=0 d=0.1 t=246
zai jian pan 	在鍵盤	c=1 d=1 t=305
zao jiu 	早就	c=0 d=0.1 t=110
zen me 	怎麼	c=1 d=1 t=303
zha le 	炸了	c=0 d=0.1 t=18
zhang 	張	c=1 d=1 t=364
zhang jian shi 	長見識	c=1 d=1 t=323
zhao zhe 	照着	c=1 d=1 t=686
zhe 	這	c=0 d=0.1 t=8
zhe beng 	這泵	c=1 d=1 t=118
zhe bu 	這部	c=0 d=0.1 t=573
zhe bu feng 	這部風	c=1 d=1 t=574
zhe ge 	這個	c=3 d=2.07197 t=630
zhe me 	這麼	c=1 d=1 t=166
zhe shi 	這是	c=1 d=1 t=567
zhe shi wo 	這是我	c=1 d=1 t=131
zhe teng 	折騰	c=0 d=0.165377 t=466
zhen 	真	c=0 d=0.1 t=497
zhen ge ge 	真哥哥	c=1 d=1 t=498
zhen shuang 	真爽	c=1 d=1 t=343
zheng ge 	整個	c=1 d=1 t=499
zheng xing 	整型	c=1 d=1 t=506
zhi 	值	c=2 d=1.96079 t=502
zhi 	至	c=1 d=1 t=487
zhi de 	值得	c=2 d=1.93239 t=192
zhi ding 	指定	c=1 d=1 t=715
zhi hou 	之後	c=2 d=1.09633 t=651
zhi hui 	智慧	c=1 d=1 t=235
zhi qian 	之前	c=1 d=1 t=238
zhi ti 	肢體	c=1 d=1 t=281
zhong 	中	c=1 d=1 t=612
zhong duan 	終端	c=2 d=1.0973 t=697
zhong wen 	中文	c=1 d=0.346597 t=291
zhong wen de wen ti 	中文的問題	c=1 d=1 t=292
zhong zhou 	中州	c=1 d=1 t=273
zhu 	住	c=0 d=0.1 t=242
zhu ti 	主題	c=3 d=1.24588 t=699
zhu ti she zhi 	主題設置	c=1 d=1 t=52
zhuang 	裝	c=1 d=1.01142 t=463
zi ding yi 	自定義	c=1 d=1 t=719
zi dong 	自動	c=1 d=1 t=620
zi fu chuan 	字符串	c=2 d=1.68729 t=582
zi ji 	自己	c=0 d=0.1 t=93
zi ji gan de 	自己乾的	c=1 d=1 t=94
zi yong 	自用	c=1 d=1 t=419
zu 	組	c=1 d=1.05842 t=587
zu guan li 	組管理	c=1 d=1 t=455
zui hou 	最後	c=1 d=1 t=496
zui jin 	最近	c=1 d=1 t=122
zuo 	做	c=2 d=1.2982 t=470
zuo tian 	昨天	c=1 d=1 t=12
zuo ye 	作業	c=1 d=1 t=67
